,citybike_index,empty_slots,free_bikes,num_parks,ave_dis_park,num_plygrd,ave_dis_plygrd,num_sr,ave_dis_sr,med_rating,med_review
151,151,4.0,3.258096538021482,3.0,720.0,0.0,,0.6931471805599453,742.0,3.5,1.3862943611198906
152,152,8.0,2.0794415416798357,5.0,403.2,0.0,,0.6931471805599453,668.0,3.5,1.791759469228055
153,153,13.0,2.833213344056216,1.0,578.0,0.0,,0.0,,3.5,2.4849066497880004
154,154,0.0,2.772588722239781,3.0,685.6666666666666,0.6931471805599453,641.0,0.0,,4.25,2.5257286443082556
155,155,12.0,0.0,3.0,477.3333333333333,0.0,,0.0,,4.25,2.917770732084279
156,156,8.0,1.9459101490553132,7.0,483.42857142857144,0.0,,0.6931471805599453,574.0,2.75,1.7047480922384253
157,157,9.0,2.1972245773362196,5.0,302.0,0.6931471805599453,436.0,0.0,,4.25,2.5257286443082556
158,158,15.0,1.6094379124341003,4.0,498.25,1.3862943611198906,405.3333333333333,0.0,,4.0,1.6094379124341003
159,159,3.0,2.3978952727983707,4.0,877.75,0.6931471805599453,624.0,1.0986122886681098,1037.5,4.0,2.70805020110221
160,160,16.0,1.0986122886681098,6.0,429.5,0.6931471805599453,841.0,0.0,,4.0,0.6931471805599453
161,161,23.0,0.0,5.0,355.0,0.6931471805599453,520.0,0.0,,4.0,0.6931471805599453
162,162,11.0,1.9459101490553132,4.0,358.5,1.0986122886681098,624.0,0.6931471805599453,463.0,3.75,1.791759469228055
163,163,10.0,0.0,6.0,616.0,1.0986122886681098,376.5,1.0986122886681098,825.0,4.0,2.302585092994046
164,164,14.0,1.791759469228055,7.0,731.7142857142857,0.6931471805599453,444.0,0.0,,4.0,2.0794415416798357
165,165,16.0,1.3862943611198906,8.0,767.625,0.6931471805599453,563.0,0.0,,4.25,2.4423470353692043
166,166,18.0,0.6931471805599453,6.0,579.3333333333334,1.0986122886681098,716.5,0.6931471805599453,987.0,4.25,2.5257286443082556
167,167,16.0,2.0794415416798357,4.0,625.5,0.6931471805599453,945.0,1.0986122886681098,430.0,3.75,3.349904087274605
168,168,8.0,1.0986122886681098,5.0,642.2,1.0986122886681098,674.0,0.6931471805599453,859.0,3.75,2.1972245773362196
169,169,13.0,1.791759469228055,8.0,400.125,0.6931471805599453,682.0,0.6931471805599453,266.0,4.5,3.044522437723423
170,170,6.0,2.0794415416798357,6.0,588.8333333333334,0.6931471805599453,492.0,1.0986122886681098,521.5,4.0,2.772588722239781
171,171,13.0,0.0,4.0,586.75,0.6931471805599453,531.0,0.6931471805599453,716.0,4.0,3.044522437723423
172,172,6.0,2.1972245773362196,7.0,696.7142857142857,0.6931471805599453,813.0,0.6931471805599453,771.0,4.5,2.302585092994046
173,173,5.0,2.6390573296152584,7.0,479.0,0.6931471805599453,932.0,0.6931471805599453,211.0,4.0,3.970291913552122
174,174,12.0,2.0794415416798357,4.0,601.5,0.6931471805599453,34.0,0.6931471805599453,385.0,3.5,2.8903717578961645
