,fsq_id,category_name
4138,63189daa5c33bb090bd9b858,Park
4139,4c2cb127d1a10f4707d1f964,Park
4140,4c2cb127d1a10f4707d1f964,Sports and Recreation
4141,57b8901c498ef0c324f90cce,Park
4142,586973fe0bc55b537909c88b,Park
4143,586973fe0bc55b537909c88b,Sports and Recreation
4144,f3047dcdb5fb48707c08f9b6,Farm
4145,08e1be9d69ac461fa12b83ea,Park
4146,4ae8613cf964a520f9ae21e3,Park
4147,580a5b6d38fa83fae206e5d6,Dive Spot
4148,5250314a498e6215f23586f3,Park
4149,4ff78eade4b07fe9465647f3,Park
4150,4dbaf44b4b222080d36b765b,Harbor or Marina
4151,4c38f570dfb0e21ec9a0afa8,Park
4152,4e13b6ed88777cd5da2e16b0,Beach
4153,51df4764498e58db1943a85b,Park
4154,609c6df46aedaf0557ce77aa,Park
4155,55d0c9c4498e93744ece44cb,Park
4156,55d0c9c4498e93744ece44cb,Sports and Recreation
4157,4ba30d69f964a520c22938e3,Park
4158,4ff092a0e4b07cca83dd590a,Park
4159,5400ca4a498e7d09decda934,Park
4160,4c8138e5dc018cfac196c36c,Park
4161,57a78e12498e88fc66ce32b2,Park
4162,4ff04695e4b0262c92783dab,Beach
4163,4e56e0f9b993bf36edfa43de,Dog Park
4164,4cef1ae30acea35d06d1ecae,Landmarks and Outdoors
4165,4da889d043a12d0c26543d45,Playground
4166,4e50026718a8af30fd8d8541,Park
4167,4bf312546ba2b7133a148977,Park
4168,4c7d9eb75af8b60c79459010,Garden
4169,5214ecb611d2556daab2a607,Park
4170,4dfd64cffa76c83b6e804b32,Landmarks and Outdoors
4171,4e94ef3361afef051b829856,Park
4172,560d4f73498ee0b1faaee055,Preschool
4173,560d4f73498ee0b1faaee055,Playground
4174,560d4f73498ee0b1faaee055,Recreation Center
4175,4e94ef3361afef051b829856,Park
4176,560d4f73498ee0b1faaee055,Preschool
4177,560d4f73498ee0b1faaee055,Playground
4178,560d4f73498ee0b1faaee055,Recreation Center
4179,4bc50172c839ef3bf88c304e,Park
4180,4c7d9eb75af8b60c79459010,Garden
4181,4bb13357f964a520e3823ce3,Park
4182,4cc4f02c42d1b60c2bcc2013,Dog Park
4183,5214ecb611d2556daab2a607,Park
4184,5896082304aa4f585dbb96c1,Historic and Protected Site
4185,4e94ef3361afef051b829856,Park
4186,5896082304aa4f585dbb96c1,Historic and Protected Site
4187,5214ecb611d2556daab2a607,Park
4188,4dcd5977d22deadedd36b6c6,Park
4189,560d4f73498ee0b1faaee055,Preschool
4190,560d4f73498ee0b1faaee055,Playground
4191,560d4f73498ee0b1faaee055,Recreation Center
4192,4bb13357f964a520e3823ce3,Park
4193,4df7d6b8d22dca97c59686d1,Park
4194,4df7d6b8d22dca97c59686d1,Sports and Recreation
4195,4f5a59b2e5e8e7d22ede615b,History Museum
4196,4f5a59b2e5e8e7d22ede615b,Office Building
4197,4f5a59b2e5e8e7d22ede615b,Non-Profit Organization
4198,4f5a59b2e5e8e7d22ede615b,Monument
4199,4db1a2a1ced7890813906b53,Park
4200,4c6ff09bd274b60c3ff4d70d,Park
4201,4db1a1beced78908139064bc,Park
4202,4db1a1beced78908139064bc,Sports and Recreation
